Scale,Pearson_r,Pearson_p,Spearman_r,Spearman_p
VRSQ_Total,-0.32232429873473983,0.12451500369549509,-0.3077429976944799,0.14348901726191443
SSS_Total,-0.38230937478137006,0.06522748977078083,-0.3445872440706951,0.09915619392697844
BIS_Total,-0.15295866280333642,0.4755026064566453,-0.1362647059910546,0.5254978509831207
MACHI_Total,-0.6987145061064971,0.0001459534351850919,-0.6081463877657273,0.0016173400877457483
