Scale,Pearson_r,Pearson_p,Spearman_r,Spearman_p
SSS_Total,0.08785133779108147,0.683128801270572,0.06762658498026422,0.7535402021364603
BIS_Total,0.1990385360045072,0.35112564342107133,0.17593232033153816,0.41089413317478907
